year,measure,Achara,Boonsri,Busarakhan,Chai,Decha,Kannika,Kohsoom,Sakda,Somchair,Tansanee
1998,"1,2,3-Trichlorobenzene",0,0,0,0,0,0,0,0,0,0
1999,"1,2,3-Trichlorobenzene",0,0,0,0,0,0,0,0,0,0
2000,"1,2,3-Trichlorobenzene",0,0,0,0,0,0,0,0,0,0
2001,"1,2,3-Trichlorobenzene",0,0,0,0,0,0,0,0,0,0
2002,"1,2,3-Trichlorobenzene",0,0,0,0,0,0,0,0,0,0
2003,"1,2,3-Trichlorobenzene",0,0,0,0,0,0,0,0,0,0
2004,"1,2,3-Trichlorobenzene",0,0,0,0,0,0,0,0,0,0
2005,"1,2,3-Trichlorobenzene",0,0,0,0,0,0,0,0,0,0
2006,"1,2,3-Trichlorobenzene",0,0,0,0,0,0,0,0,0,0
2007,"1,2,3-Trichlorobenzene",0,0,0,0,0,0,0,0,0,0
2008,"1,2,3-Trichlorobenzene",0,0.001,0,0,0,0,0.0040375,0,0,0
2009,"1,2,3-Trichlorobenzene",0,0.001,0,0,0,0,0.001,0,0,0
2010,"1,2,3-Trichlorobenzene",0,0,0,0,0,0,0,0,0,0
2011,"1,2,3-Trichlorobenzene",0,0,0,0,0,0,0,0,0,0
2012,"1,2,3-Trichlorobenzene",0,0,0,0,0,0,0,0,0,0
2013,"1,2,3-Trichlorobenzene",0,0,0,0,0,0,0,0,0,0
2014,"1,2,3-Trichlorobenzene",0,0,0,0,0,0,0,0,0,0
2015,"1,2,3-Trichlorobenzene",0,0,0,0,0,0,0,0,0,0
2016,"1,2,3-Trichlorobenzene",0,0,0,0,0,0,0,0,0,0
1998,"1,2,4-Trichlorobenzene",0,0,0,0,0,0,0,0,0,0
1999,"1,2,4-Trichlorobenzene",0,0,0,0,0,0,0,0,0,0
2000,"1,2,4-Trichlorobenzene",0,0,0,0,0,0,0,0,0,0
2001,"1,2,4-Trichlorobenzene",0,0,0,0,0,0,0,0,0,0
