measure,year,units,Achara,Boonsri,Busarakhan,Chai,Decha,Kannika,Kohsoom,Sakda,Somchair,Tansanee
"1,2,3-Trichlorobenzene",1998,µg/l,0,0,0,0,0,0,0,0,0,0
"1,2,3-Trichlorobenzene",1999,µg/l,0,0,0,0,0,0,0,0,0,0
"1,2,3-Trichlorobenzene",2000,µg/l,0,0,0,0,0,0,0,0,0,0
"1,2,3-Trichlorobenzene",2001,µg/l,0,0,0,0,0,0,0,0,0,0
"1,2,3-Trichlorobenzene",2002,µg/l,0,0,0,0,0,0,0,0,0,0
"1,2,3-Trichlorobenzene",2003,µg/l,0,0,0,0,0,0,0,0,0,0
"1,2,3-Trichlorobenzene",2004,µg/l,0,0,0,0,0,0,0,0,0,0
"1,2,3-Trichlorobenzene",2005,µg/l,0,0,0,0,0,0,0,0,0,0
"1,2,3-Trichlorobenzene",2006,µg/l,0,0,0,0,0,0,0,0,0,0
"1,2,3-Trichlorobenzene",2007,µg/l,0,0,0,0,0,0,0,0,0,0
"1,2,3-Trichlorobenzene",2008,µg/l,0,0.001,0,0,0,0,0.0040375,0,0,0
"1,2,3-Trichlorobenzene",2009,µg/l,0,0.001,0,0,0,0,0.001,0,0,0
"1,2,3-Trichlorobenzene",2010,µg/l,0,0,0,0,0,0,0,0,0,0
"1,2,3-Trichlorobenzene",2011,µg/l,0,0,0,0,0,0,0,0,0,0
"1,2,3-Trichlorobenzene",2012,µg/l,0,0,0,0,0,0,0,0,0,0
"1,2,3-Trichlorobenzene",2013,µg/l,0,0,0,0,0,0,0,0,0,0
"1,2,3-Trichlorobenzene",2014,µg/l,0,0,0,0,0,0,0,0,0,0
"1,2,3-Trichlorobenzene",2015,µg/l,0,0,0,0,0,0,0,0,0,0
"1,2,3-Trichlorobenzene",2016,µg/l,0,0,0,0,0,0,0,0,0,0
"1,2,4-Trichlorobenzene",1998,µg/l,0,0,0,0,0,0,0,0,0,0
"1,2,4-Trichlorobenzene",1999,µg/l,0,0,0,0,0,0,0,0,0,0
"1,2,4-Trichlorobenzene",2000,µg/l,0,0,0,0,0,0,0,0,0,0
"1,2,4-Trichlorobenzene",2001,µg/l,0,0,0,0,0,0,0,0,0,0
"1,2,4-Trichlorobenzene",2002,µg/l,0,0,0,0,0,0,0,0,0,0
"1,2,4-Trichlorobenzene",2003,µg/l,0,0,0,0,0,0,0,0,0,0
"1,2,4-Trichlorobenzene",2004,µg/l,0,0,0,0,0,0,0,0,0,0
"1,2,4-Trichlorobenzene",2005,µg/l,0,0,0,0,0,0,0,0,0,0
"1,2,4-Trichlorobenzene",2006,µg/l,0,0,0,0,0,0,0,0,0,0
"1,2,4-Trichlorobenzene",2007,µg/l,0,0,0,0,0,0,0,0,0,0
"1,2,4-Trichlorobenzene",2008,µg/l,0,0.001,0,0,0,0,0.001,0,0,0
"1,2,4-Trichlorobenzene",2009,µg/l,0,0.001,0,0,0,0,0.001,0,0,0
"1,2,4-Trichlorobenzene",2010,µg/l,0,0,0,0,0,0,0,0,0,0
"1,2,4-Trichlorobenzene",2011,µg/l,0,0,0,0,0,0,0,0,0,0
"1,2,4-Trichlorobenzene",2012,µg/l,0,0,0,0,0,0,0,0,0,0
"1,2,4-Trichlorobenzene",2013,µg/l,0,0,0,0,0,0,0,0,0,0
"1,2,4-Trichlorobenzene",2014,µg/l,0,0,0,0,0,0,0,0,0,0
"1,2,4-Trichlorobenzene",2015,µg/l,0,0,0,0,0,0,0,0,0,0
"1,2,4-Trichlorobenzene",2016,µg/l,0,0,0,0,0,0,0,0,0,0
Acenaphthene,1998,µg/l,0,0,0,0,0,0,0,0,0,0
Acenaphthene,1999,µg/l,0,0,0,0,0,0,0,0,0,0
Acenaphthene,2000,µg/l,0,0,0,0,0,0,0,0,0,0
Acenaphthene,2001,µg/l,0,0,0,0,0,0,0,0,0,0
Acenaphthene,2002,µg/l,0,0,0,0,0,0,0,0,0,0
Acenaphthene,2003,µg/l,0,0,0,0,0,0,0,0,0,0
Acenaphthene,2004,µg/l,0,0,0,0,0,0,0,0,0,0
Acenaphthene,2005,µg/l,0,0,0,0,0,0,0,0,0,0
Acenaphthene,2006,µg/l,0,0,0,0,0,0,0,0,0,0
Acenaphthene,2007,µg/l,0,0,0,0,0,0,0,0,0,0
Acenaphthene,2008,µg/l,0,0.004385385,0,0,0,0,0.003,0,0,0
Acenaphthene,2009,µg/l,0,0.003,0,0,0,0,0.003,0,0,0
Acenaphthene,2010,µg/l,0,0,0,0,0,0,0,0,0,0
Acenaphthene,2011,µg/l,0,0,0,0,0,0,0,0,0,0
Acenaphthene,2012,µg/l,0,0,0,0,0,0,0,0,0,0
Acenaphthene,2013,µg/l,0,0,0,0,0,0,0,0,0,0
Acenaphthene,2014,µg/l,0,0,0,0,0,0,0,0,0,0
Acenaphthene,2015,µg/l,0,0,0,0,0,0,0,0,0,0
Acenaphthene,2016,µg/l,0,0,0,0,0,0,0,0,0,0
Acenaphthylene,1998,µg/l,0,0,0,0,0,0,0,0,0,0
Acenaphthylene,1999,µg/l,0,0,0,0,0,0,0,0,0,0
Acenaphthylene,2000,µg/l,0,0,0,0,0,0,0,0,0,0
Acenaphthylene,2001,µg/l,0,0,0,0,0,0,0,0,0,0
Acenaphthylene,2002,µg/l,0,0,0,0,0,0,0,0,0,0
Acenaphthylene,2003,µg/l,0,0,0,0,0,0,0,0,0,0
Acenaphthylene,2004,µg/l,0,0,0,0,0,0,0,0,0,0
Acenaphthylene,2005,µg/l,0,0,0,0,0,0,0,0,0,0
Acenaphthylene,2006,µg/l,0,0,0,0,0,0,0,0,0,0
Acenaphthylene,2007,µg/l,0,0,0,0,0,0,0,0,0,0
Acenaphthylene,2008,µg/l,0,0.004,0,0,0,0,0.004,0,0,0
Acenaphthylene,2009,µg/l,0,0.004,0,0,0,0,0.004,0,0,0
Acenaphthylene,2010,µg/l,0,0,0,0,0,0,0,0,0,0
Acenaphthylene,2011,µg/l,0,0,0,0,0,0,0,0,0,0
Acenaphthylene,2012,µg/l,0,0,0,0,0,0,0,0,0,0
Acenaphthylene,2013,µg/l,0,0,0,0,0,0,0,0,0,0
Acenaphthylene,2014,µg/l,0,0,0,0,0,0,0,0,0,0
Acenaphthylene,2015,µg/l,0,0,0,0,0,0,0,0,0,0
Acenaphthylene,2016,µg/l,0,0,0,0,0,0,0,0,0,0
AGOC-3A,1998,µg/l,0,0,0,0,0,0,0,0,0,0
AGOC-3A,1999,µg/l,0,0,0,0,0,0,0,0,0,0
AGOC-3A,2000,µg/l,0,0,0,0,0,0,0,0,0,0
AGOC-3A,2001,µg/l,0,0,0,0,0,0,0,0,0,0
